candidate_id,rank,score,reasoning
CAND_0041610,11,0.903826,"Fit summary: Recommendation Systems Engineer at Zoho is a strong JD match with 6.7 years in the JD's 5-9 year seniority band; component evidence is technical 97%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Recommendation Systems Engineer at Zoho for 31 months shows learning-to-rank, ranking, recommendation, relevance labeling, Search Engineer at InMobi for 15 months shows embedding, embeddings, evaluation framework, pinecone with coverage of 11 retrieval/ranking signals, 4 evaluation signals, 2 production signals, semantic score 100%, JD coverage score 99%; skill proof is Elasticsearch (expert, 94 months, 28 endorsements), OpenSearch (expert, 82 months, 54 endorsements), Recommendation Systems (expert, 62 months, 38 endorsements), Embeddings (advanced, 55 months, 41 endorsements); hireability and trust are Indore, Madhya Pradesh, India; notice 30 days; response rate 0.52; average response time 5h, profile completeness 54%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0010257,12,0.899612,"Fit summary: Senior Data Scientist at Google is a strong JD match with 6.5 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is Senior Data Scientist at Google for 26 months shows a/b, embedding, embeddings, ranking, current Senior Data Scientist at Google for 37 months shows monitoring, production with coverage of 9 retrieval/ranking signals, 3 evaluation signals, 4 production signals, semantic score 100%, JD coverage score 99%; skill proof is Milvus (expert, 72 months, 51 endorsements), Python (expert, 86 months, 27 endorsements), Qdrant (expert, 52 months, 4 endorsements), Recommendation Systems (expert, 67 months, 57 endorsements); hireability and trust are Noida, Uttar Pradesh, India; notice 120 days; response rate 0.72; average response time 46h, profile completeness 85%, verified email, verified phone, open to work; risk check is notice period is high at 120 days."
CAND_0088025,13,0.898395,"Fit summary: Staff Machine Learning Engineer at Yellow.ai is a strong JD match with 8.6 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Staff Machine Learning Engineer at Yellow.ai for 45 months shows a/b, embedding, learning-to-rank, pinecone, Staff Machine Learning Engineer at Niramai for 44 months shows a/b, embedding, learning-to-rank, pinecone with coverage of 9 retrieval/ranking signals, 1 evaluation signal, 3 production signals, semantic score 100%, JD coverage score 99%; skill proof is Elasticsearch (expert, 69 months, 59 endorsements), Python (expert, 63 months, 35 endorsements), BM25 (expert, 61 months, 50 endorsements), NLP (expert, 46 months, 35 endorsements); hireability and trust are Jaipur, Rajasthan, India; notice 90 days; response rate 0.83; average response time 24h, profile completeness 60%, verified email, verified phone, LinkedIn connected, open to work; risk check is notice period is 90 days."
CAND_0045250,14,0.897683,"Fit summary: Applied ML Engineer at Rephrase.ai is a strong JD match with 6.6 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Applied ML Engineer at Rephrase.ai for 46 months shows a/b, ranking, shipped, Applied ML Engineer at Paytm for 32 months shows monitoring, production with coverage of 9 retrieval/ranking signals, 1 evaluation signal, 3 production signals, semantic score 100%, JD coverage score 99%; skill proof is Embeddings (expert, 74 months, 16 endorsements), Qdrant (expert, 76 months, 40 endorsements), NLP (expert, 79 months, 51 endorsements), Vector Search (expert, 82 months, 30 endorsements); hireability and trust are Delhi, Delhi, India; notice 15 days; response rate 0.74; average response time 34h, profile completeness 90%, verified phone, LinkedIn connected; risk check is no major penalty signal surfaced."
CAND_0071974,15,0.897585,"Fit summary: Senior AI Engineer at Netflix is a strong JD match with 7.8 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Senior AI Engineer at Netflix for 50 months shows a/b, embedding, learning-to-rank, pinecone, Staff Machine Learning Engineer at Mad Street Den for 14 months shows a/b, embedding, embeddings, production with coverage of 13 retrieval/ranking signals, 1 evaluation signal, 6 production signals, semantic score 100%, JD coverage score 99%; skill proof is Embeddings (expert, 46 months, 50 endorsements), Information Retrieval (advanced, 29 months, 33 endorsements), Weaviate (expert, 61 months, 5 endorsements), Pinecone (expert, 51 months, 5 endorsements); hireability and trust are Vizag, Andhra Pradesh, India; notice 45 days; response rate 0.76; average response time 38h, profile completeness 87%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0011162,16,0.897385,"Fit summary: Recommendation Systems Engineer at upGrad is a strong JD match with 5.8 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current Recommendation Systems Engineer at upGrad for 25 months shows a/b, ranking, recommendation, shipped, Machine Learning Engineer at Google for 15 months shows learning-to-rank, ranking, relevance labeling, search with coverage of 12 retrieval/ranking signals, 2 evaluation signals, 3 production signals, semantic score 100%, JD coverage score 99%; skill proof is FAISS (expert, 94 months, 34 endorsements), Embeddings (expert, 69 months, 1 endorsements), OpenSearch (expert, 89 months, 45 endorsements), Pinecone (expert, 78 months, 28 endorsements); hireability and trust are Coimbatore, Tamil Nadu, India; notice 90 days; response rate 0.75; average response time 45h, profile completeness 86%, verified email, verified phone, LinkedIn connected, open to work; risk check is notice period is 90 days."
CAND_0055905,17,0.897127,"Fit summary: Senior Machine Learning Engineer at Flipkart is a strong JD match with 8.1 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is Senior Applied Scientist at Rephrase.ai for 45 months shows a/b, bm25, embedding, embeddings, current Senior Machine Learning Engineer at Flipkart for 14 months shows bm25, embedding, embedding drift, index refresh with coverage of 13 retrieval/ranking signals, 5 evaluation signals, 8 production signals, semantic score 100%, JD coverage score 99%; skill proof is Information Retrieval (advanced, 60 months, 8 endorsements), Embeddings (expert, 75 months, 17 endorsements), Elasticsearch (expert, 80 months, 23 endorsements), Python (expert, 45 months, 34 endorsements); hireability and trust are London, UK; notice 30 days; response rate 0.87; average response time 11h, profile completeness 57%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0079387,18,0.896841,"Fit summary: AI Engineer at Microsoft is a strong JD match with 6.9 years in the JD's 5-9 year seniority band; component evidence is technical 95%, career 95%, depth 100%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current AI Engineer at Microsoft for 22 months shows a/b, embedding, embeddings, ranking, AI Engineer at BYJU'S for 19 months shows bm25, elasticsearch, faiss, retrieval with coverage of 11 retrieval/ranking signals, 2 evaluation signals, 3 production signals, semantic score 100%, JD coverage score 98%; skill proof is Python (expert, 51 months, 14 endorsements), OpenSearch (expert, 87 months, 16 endorsements), Vector Search (expert, 83 months, 18 endorsements), Recommendation Systems (advanced, 59 months, 37 endorsements); hireability and trust are Trivandrum, Kerala, India; notice 30 days; response rate 0.81; average response time 29h, profile completeness 90%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0007009,19,0.896699,"Fit summary: Recommendation Systems Engineer at Wysa is a strong JD match with 7.9 years in the JD's 5-9 year seniority band; component evidence is technical 99%, career 96%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Recommendation Systems Engineer at Wysa for 14 months shows embedding, embeddings, evaluation framework, pinecone, Recommendation Systems Engineer at Netflix for 32 months shows bm25, elasticsearch, faiss, recommendation with coverage of 11 retrieval/ranking signals, 3 evaluation signals, 2 production signals, semantic score 100%, JD coverage score 98%; skill proof is Embeddings (expert, 44 months, 28 endorsements), Weaviate (expert, 40 months, 6 endorsements), Python (expert, 95 months, 38 endorsements), OpenSearch (expert, 96 months, 23 endorsements); hireability and trust are Noida, Uttar Pradesh, India; notice 30 days; response rate 0.62; average response time 42h, profile completeness 83%, verified email, verified phone, open to work; risk check is no major penalty signal surfaced."
CAND_0030031,20,0.894636,"Fit summary: AI Engineer at Microsoft is a strong JD match with 5.7 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 98%; JD evidence is current AI Engineer at Microsoft for 13 months shows a/b, embedding, embeddings, ranking, Search Engineer at Google for 27 months shows a/b, ranking, search, shipped with coverage of 8 retrieval/ranking signals, 1 evaluation signal, 4 production signals, semantic score 100%, JD coverage score 99%; skill proof is Python (expert, 57 months, 17 endorsements), Information Retrieval (advanced, 19 months, 28 endorsements), NLP (expert, 94 months, 40 endorsements), Vector Search (expert, 74 months, 37 endorsements); hireability and trust are Trivandrum, Kerala, India; notice 30 days; response rate 0.94; average response time 72h, profile completeness 81%, verified email, verified phone, LinkedIn connected; risk check is no major penalty signal surfaced."
CAND_0062247,21,0.894234,"Fit summary: AI Engineer at Google is a strong JD match with 7.3 years in the JD's 5-9 year seniority band; component evidence is technical 98%, career 96%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current AI Engineer at Google for 37 months shows bm25, elasticsearch, faiss, retrieval, NLP Engineer at Dream11 for 50 months shows learning-to-rank, ranking, relevance labeling, search with coverage of 11 retrieval/ranking signals, 1 evaluation signal, 1 production signal, semantic score 100%, JD coverage score 98%; skill proof is Information Retrieval (advanced, 33 months, 3 endorsements), Pinecone (expert, 37 months, 5 endorsements), Qdrant (expert, 90 months, 10 endorsements), Vector Search (expert, 75 months, 43 endorsements); hireability and trust are Kochi, Kerala, India; notice 30 days; response rate 0.78; average response time 21h, profile completeness 57%, verified email, verified phone, open to work; risk check is no major penalty signal surfaced."
CAND_0050454,22,0.893658,"Fit summary: AI Engineer at Rephrase.ai is a strong JD match with 6.8 years in the JD's 5-9 year seniority band; component evidence is technical 92%, career 96%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current AI Engineer at Rephrase.ai for 30 months shows bm25, elasticsearch, faiss, retrieval, Machine Learning Engineer at Adobe for 31 months shows bm25, elasticsearch, faiss, retrieval with coverage of 10 retrieval/ranking signals, 3 evaluation signals, 1 production signal, semantic score 100%, JD coverage score 97%; skill proof is FAISS (expert, 62 months, 33 endorsements), BM25 (expert, 55 months, 51 endorsements), NLP (expert, 50 months, 29 endorsements), Qdrant (advanced, 51 months, 59 endorsements); hireability and trust are Delhi, Delhi, India; notice 30 days; response rate 0.77; average response time 32h, profile completeness 78%, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0099806,23,0.891635,"Fit summary: AI Engineer at Mad Street Den is a strong JD match with 4.6 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 94%, depth 96%, title 100%, seniority 82%, hybrid precompute 97%; JD evidence is current AI Engineer at Mad Street Den for 33 months shows a/b, ranking, shipped, Machine Learning Engineer at upGrad for 21 months shows a/b, ranking, shipped with coverage of 11 retrieval/ranking signals, 1 evaluation signal, 2 production signals, semantic score 100%, JD coverage score 97%; skill proof is FAISS (expert, 58 months, 26 endorsements), Embeddings (expert, 89 months, 14 endorsements), Qdrant (expert, 63 months, 58 endorsements), Elasticsearch (advanced, 56 months, 10 endorsements); hireability and trust are Bhubaneswar, Odisha, India; notice 30 days; response rate 0.76; average response time 33h, profile completeness 90%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0096142,24,0.891158,"Fit summary: Applied ML Engineer at upGrad is a strong JD match with 5.0 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 94%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is Applied ML Engineer at BYJU'S for 18 months shows a/b, embedding, embeddings, ranking, current Applied ML Engineer at upGrad for 42 months shows a/b, ranking, shipped with coverage of 9 retrieval/ranking signals, 1 evaluation signal, 4 production signals, semantic score 100%, JD coverage score 98%; skill proof is Pinecone (expert, 62 months, 18 endorsements), Python (expert, 72 months, 29 endorsements), NLP (expert, 48 months, 35 endorsements), BM25 (expert, 69 months, 13 endorsements); hireability and trust are Hyderabad, Telangana, India; notice 120 days; response rate 0.84; average response time 7h, profile completeness 67%, verified email, verified phone, open to work; risk check is notice period is high at 120 days."
CAND_0079064,25,0.890763,"Fit summary: Senior Data Scientist at Niramai is a strong JD match with 5.2 years in the JD's 5-9 year seniority band; component evidence is technical 95%, career 94%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Senior Data Scientist at Niramai for 44 months shows bm25, elasticsearch, faiss, retrieval, NLP Engineer at Razorpay for 18 months shows embedding, embeddings, evaluation framework, pinecone with coverage of 11 retrieval/ranking signals, 1 evaluation signal, 2 production signals, semantic score 100%, JD coverage score 97%; skill proof is OpenSearch (expert, 70 months, 52 endorsements), Pinecone (expert, 90 months, 21 endorsements), Semantic Search (expert, 76 months, 51 endorsements), Recommendation Systems (advanced, 53 months, 14 endorsements); hireability and trust are Noida, Uttar Pradesh, India; notice 120 days; response rate 0.91; average response time 3h, profile completeness 77%, verified email, verified phone, LinkedIn connected, open to work; risk check is notice period is high at 120 days."
CAND_0093912,26,0.888369,"Fit summary: Senior Data Scientist at Razorpay is a strong JD match with 5.3 years in the JD's 5-9 year seniority band; component evidence is technical 96%, career 94%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Senior Data Scientist at Razorpay for 27 months shows learning-to-rank, ranking, relevance labeling, search, Search Engineer at Flipkart for 19 months shows bm25, elasticsearch, faiss, retrieval with coverage of 11 retrieval/ranking signals, 3 evaluation signals, 2 production signals, semantic score 100%, JD coverage score 98%; skill proof is Embeddings (expert, 61 months, 5 endorsements), Milvus (expert, 61 months, 58 endorsements), Elasticsearch (expert, 77 months, 50 endorsements), Vector Search (expert, 80 months, 35 endorsements); hireability and trust are Chandigarh, Chandigarh, India; notice 30 days; response rate 0.66; average response time 40h, profile completeness 88%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0052328,27,0.886722,"Fit summary: Recommendation Systems Engineer at Amazon is a strong JD match with 6.5 years in the JD's 5-9 year seniority band; component evidence is technical 89%, career 100%, depth 100%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Recommendation Systems Engineer at Amazon for 52 months shows embedding, embeddings, evaluation framework, pinecone, Senior Data Scientist at Observe.AI for 25 months shows monitoring, production with coverage of 8 retrieval/ranking signals, 1 evaluation signal, 2 production signals, semantic score 100%, JD coverage score 97%; skill proof is OpenSearch (expert, 42 months, 24 endorsements), Vector Search (expert, 53 months, 26 endorsements), Python (advanced, 50 months, 20 endorsements), Recommendation Systems (advanced, 34 months, 2 endorsements); hireability and trust are Pune, Maharashtra, India; notice 30 days; response rate 0.79; average response time 32h, profile completeness 77%, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0036437,28,0.886565,"Fit summary: Search Engineer at Rephrase.ai is a strong JD match with 4.8 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 95%, depth 100%, title 100%, seniority 82%, hybrid precompute 97%; JD evidence is current Search Engineer at Rephrase.ai for 21 months shows learning-to-rank, ranking, relevance labeling, search, Machine Learning Engineer at Nykaa for 16 months shows learning-to-rank, ranking, relevance labeling, search with coverage of 10 retrieval/ranking signals, 1 evaluation signal, 3 production signals, semantic score 100%, JD coverage score 98%; skill proof is OpenSearch (expert, 48 months, 32 endorsements), Elasticsearch (expert, 92 months, 11 endorsements), Weaviate (expert, 73 months, 11 endorsements), FAISS (advanced, 37 months, 60 endorsements); hireability and trust are Kolkata, West Bengal, India; notice 30 days; response rate 0.87; average response time 35h, profile completeness 94%, verified email, verified phone, LinkedIn connected; risk check is no major penalty signal surfaced."
CAND_0074735,29,0.886121,"Fit summary: Applied ML Engineer at Rephrase.ai is a strong JD match with 5.5 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 98%, depth 100%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Applied ML Engineer at Rephrase.ai for 24 months shows embedding, embeddings, evaluation framework, pinecone, Search Engineer at Rephrase.ai for 19 months shows embedding, embeddings, evaluation framework, pinecone with coverage of 9 retrieval/ranking signals, 1 evaluation signal, 2 production signals, semantic score 100%, JD coverage score 99%; skill proof is Information Retrieval (expert, 55 months, 28 endorsements), Vector Search (expert, 79 months, 10 endorsements), Weaviate (advanced, 43 months, 37 endorsements), Elasticsearch (advanced, 26 months, 32 endorsements); hireability and trust are Chandigarh, Chandigarh, India; notice 90 days; response rate 0.77; average response time 10h, profile completeness 93%, verified email, verified phone, LinkedIn connected, open to work; risk check is notice period is 90 days."
CAND_0000031,30,0.885993,"Fit summary: Recommendation Systems Engineer at Swiggy is a strong JD match with 6.0 years in the JD's 5-9 year seniority band; component evidence is technical 95%, career 94%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Recommendation Systems Engineer at Swiggy for 14 months shows a/b, ranking, recommendation, shipped, Search Engineer at Mad Street Den for 16 months shows a/b, ranking, search, shipped with coverage of 9 retrieval/ranking signals, 2 evaluation signals, 2 production signals, semantic score 100%, JD coverage score 97%; skill proof is Information Retrieval (expert, 84 months, 2 endorsements), Embeddings (expert, 60 months, 48 endorsements), Pinecone (expert, 88 months, 34 endorsements), FAISS (advanced, 35 months, 19 endorsements); hireability and trust are Hyderabad, Telangana, India; notice 60 days; response rate 0.91; average response time 76h, profile completeness 83%, verified phone, open to work; risk check is no major penalty signal surfaced."
CAND_0018549,31,0.883765,"Fit summary: Recommendation Systems Engineer at Uber is a strong JD match with 6.8 years in the JD's 5-9 year seniority band; component evidence is technical 97%, career 96%, depth 96%, title 100%, seniority 100%, hybrid precompute 97%; JD evidence is current Recommendation Systems Engineer at Uber for 37 months shows learning-to-rank, ranking, recommendation, relevance labeling, Machine Learning Engineer at Flipkart for 44 months shows a/b, embedding, embeddings, ranking with coverage of 12 retrieval/ranking signals, 2 evaluation signals, 2 production signals, semantic score 100%, JD coverage score 98%; skill proof is Weaviate (expert, 44 months, 10 endorsements), Elasticsearch (expert, 73 months, 43 endorsements), Qdrant (expert, 74 months, 37 endorsements), Milvus (expert, 79 months, 5 endorsements); hireability and trust are Coimbatore, Tamil Nadu, India; notice 60 days; response rate 0.73; average response time 75h, profile completeness 65%, verified email, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
CAND_0042506,32,0.883097,"Fit summary: Search Engineer at Verloop.io is a strong JD match with 4.2 years in the JD's 5-9 year seniority band; component evidence is technical 100%, career 94%, depth 96%, title 100%, seniority 82%, hybrid precompute 97%; JD evidence is current Search Engineer at Verloop.io for 18 months shows embedding, embeddings, evaluation framework, pinecone, Machine Learning Engineer at Meesho for 32 months shows a/b, embedding, embeddings, ranking with coverage of 10 retrieval/ranking signals, 2 evaluation signals, 2 production signals, semantic score 100%, JD coverage score 97%; skill proof is Information Retrieval (expert, 88 months, 26 endorsements), FAISS (expert, 81 months, 43 endorsements), Milvus (expert, 41 months, 30 endorsements), Qdrant (expert, 47 months, 25 endorsements); hireability and trust are Mumbai, Maharashtra, India; notice 15 days; response rate 0.48; average response time 76h, profile completeness 83%, verified phone, LinkedIn connected, open to work; risk check is no major penalty signal surfaced."
